iter	RMSE
127	0.371151385
128	0.3708968327
129	0.3708066129
130	0.3705868633
131	0.3704865633
132	0.3703860471
133	0.3702900292
134	0.3701028536
135	0.3698806314
136	0.3696253186
137	0.369411167
138	0.3692727338
139	0.369080931
140	0.3687754495
141	0.3685779231
142	0.3683947914
143	0.3682170867
144	0.3680928363
145	0.3678655252
146	0.3678026576
147	0.3676296671
148	0.3673710522
149	0.3671812882
150	0.3671475397
151	0.3669553077
152	0.3667394968
153	0.3665954375
154	0.3664680277
155	0.3663075046
156	0.3661879747
157	0.3659868578
158	0.3657150015
159	0.3656459112
160	0.3655352593
161	0.3652811419
162	0.3651449933
163	0.3649001526
164	0.3646208746
165	0.3644878932
166	0.3643213049
167	0.3641802774
168	0.363950666
169	0.3638394299
170	0.363690925
171	0.3636383225
172	0.3635659801
173	0.3634872557
174	0.363457519
175	0.3632820538
176	0.3630242204
177	0.3629023743
178	0.3628038521
179	0.3626335754
180	0.3624154177
181	0.3622504351
182	0.3621115015
183	0.3620055578
184	0.3616568694
185	0.3615274205
186	0.3613530311
187	0.3611444413
188	0.3610376902
189	0.3609110656
190	0.3607457896
191	0.3604653681
192	0.3601890188
193	0.3599562331
194	0.3598637297
195	0.359660378
196	0.3595350908
197	0.3594332485
198	0.3593808508
199	0.3591921981
200	0.359103758
201	0.3589876648
202	0.3588873424
203	0.3588083691
204	0.3587399288
205	0.3586631267
206	0.3586079228
207	0.3584308792
208	0.3582987753
209	0.3581858016
210	0.3579867243
211	0.3577344731
212	0.3576898122
213	0.3576172119
214	0.357595957
215	0.3575219499
216	0.3573552198
217	0.3573225085
218	0.3570318227
219	0.3569359195
220	0.3568248358
221	0.3565650084
222	0.3564435772
223	0.3563432047
224	0.3560880056
225	0.3559996011
226	0.355851063
227	0.3556913498
228	0.3555752328
229	0.35540977
230	0.3551993339
231	0.3550588523
232	0.3550369929
233	0.3548720451
234	0.3547568418
235	0.3544615578
236	0.3543715632
237	0.3542806854
238	0.35418522
239	0.3541639043
240	0.3539567116
241	0.3537723513
242	0.3536368458
243	0.3533828596
244	0.3532173934
245	0.3530609913
246	0.3528809608
247	0.3526778626
248	0.3525216376
249	0.3524233941
250	0.3523052466
251	0.3521118441
252	0.3520348926
253	0.3519544531
254	0.3517266776
255	0.3515451343
256	0.3513189708
257	0.3510822488
258	0.3509173202
259	0.3506228347
260	0.3506079716
261	0.3504767207
262	0.3503315354
263	0.3502322512
264	0.3500506703
265	0.3498395651
266	0.3497431692
267	0.349538797
268	0.3493589338
269	0.349122639
270	0.3491090326
271	0.3489716004
272	0.3487427109
273	0.3486665496
274	0.3485355817
275	0.3484760848
276	0.3483153946
277	0.3482990495
278	0.3480894109
279	0.3478493781
280	0.3476637351
281	0.3476515021
282	0.3475249945
283	0.3473841299
284	0.3472375506
285	0.3470801799
286	0.3469594696
287	0.3467741006
288	0.3466596627
289	0.3464864803
290	0.3463929306
291	0.346328401
292	0.3461908955
293	0.3459264429
294	0.3458429168
295	0.3457579532
296	0.3456763165
297	0.3455916335
298	0.3455262957
299	0.3454015878
300	0.3451830946
301	0.3450630562
302	0.3449388386
303	0.3447624569
304	0.3445299341
305	0.3443443798
306	0.3441866075
307	0.3439382705
308	0.3437656367
309	0.3436698045
310	0.3434661719
311	0.3434596968
312	0.3433310754
313	0.343206174
314	0.3430989634
315	0.3428784406
316	0.3427294742
317	0.3426404486
318	0.3424735009
319	0.3424154522
320	0.3422164363
321	0.3419235567
322	0.3417199937
323	0.3417036283
324	0.3415990218
325	0.3414885833
326	0.3413608885
327	0.3412715349
328	0.3411492542
329	0.3409715581
330	0.3409616507
331	0.3408146792
332	0.340606432
333	0.340507335
334	0.3403868824
335	0.3403779524
336	0.3402656478
337	0.3402562979
338	0.3402214723
339	0.3400450955
340	0.3399093296
341	0.3397913622
342	0.3396672312
343	0.3394334893
344	0.3393324758
345	0.3392190203
346	0.3389697741
347	0.3388084982
348	0.338636436
349	0.3384695282
350	0.3383840506
351	0.338222116
352	0.3380937043
353	0.3379824616
354	0.3379097884
355	0.3378390454
356	0.3378272652
357	0.3376312153
358	0.3374428646
359	0.337343392
360	0.3372266146
361	0.337059999
362	0.3369619406
363	0.3367236373
364	0.3366032373
365	0.3365821577
366	0.3364253739
367	0.3362339527
368	0.3362259189
369	0.3360119766
370	0.3358201383
371	0.3357030759
372	0.3356310454
373	0.3355406602
374	0.3354313064
375	0.3353593125
376	0.3353052254
377	0.3351591516
378	0.3350656527
379	0.3349473569
380	0.3347641381
381	0.3344916814
382	0.3344055753
383	0.3343366922
384	0.3342616333
385	0.3340914504
386	0.3339216059
387	0.3336837414
388	0.3335964778
389	0.3334371941
390	0.3333459832
391	0.3332266405
392	0.3330779912
393	0.3330237716
394	0.3328395131
395	0.3325879612
396	0.3324409743
397	0.3322973432
398	0.3322000268
399	0.3319723068
400	0.3318995238
401	0.3317290005
402	0.3315950737
403	0.3314386697
404	0.3312838032
405	0.3312261857
406	0.3311865994
407	0.3310186034
408	0.3308772984
409	0.330669724
410	0.3305999383
411	0.330395646
412	0.3302695533
413	0.3301567871
414	0.3299875804
415	0.329842794
416	0.3296994576
417	0.3295295172
418	0.3294081639
419	0.3292297752
420	0.3291475647
421	0.3290219828
422	0.3288342092
423	0.3287209357
424	0.3286610449
425	0.3284927037
426	0.3283756931
427	0.3283421108
428	0.3282472645
429	0.3281801451
430	0.3280924604
431	0.3280246718
432	0.3279849147
433	0.3278274194
434	0.3277162069
435	0.3276500392
436	0.3274958072
437	0.3273953278
438	0.3273606857
439	0.3272234282
440	0.327067031
441	0.327003392
442	0.3268874319
443	0.3267587896
444	0.326723217
445	0.3266834
446	0.3265099294
447	0.3263798055
448	0.3262707005
449	0.3262036746
450	0.3261696661
451	0.3259085533
452	0.3257636795
453	0.325611381
454	0.3255274608
455	0.3252674912
456	0.3251189687
457	0.3250743103
458	0.3249456846
459	0.3248082051
460	0.3247686517
461	0.3246699198
462	0.3244491356
463	0.3242928541
464	0.3241105577
465	0.3240950606
466	0.3240054553
467	0.3238411922
468	0.3236700224
469	0.3234175248
470	0.323216234
471	0.3232098553
472	0.3231118499
473	0.323064153
474	0.3229320502
475	0.322890525
476	0.3227871035
477	0.3225067029
478	0.3224558159
479	0.3223620643
480	0.3222600894
481	0.322147365
482	0.3220666953
483	0.3219395368
484	0.321858695
485	0.3217961025
486	0.3217207527
487	0.3215590747
488	0.3215080586
489	0.3213971777
490	0.3212360004
491	0.3211276305
492	0.3210684387
493	0.3210334224
494	0.3208779994
495	0.320772303
496	0.3207084524
497	0.320682858
498	0.3206584915
499	0.3206114625
500	0.320367173
501	0.3201717332
502	0.3200383774
503	0.31987884
504	0.3197430555
505	0.3196900007
506	0.3194551754
507	0.3193354614
508	0.3191585804
509	0.3190408983
510	0.3189362013
511	0.3187647311
512	0.3186779872
513	0.3186029107
514	0.3185226534
515	0.3183539283
516	0.3182988661
517	0.3182304611
518	0.318085203
519	0.3178786926
520	0.3178418185
521	0.3177847434
522	0.3176345782
523	0.3174837097
524	0.3174777468
525	0.3172987909
526	0.3171955932
527	0.3171361632
528	0.3170707558
529	0.3169157212
530	0.3168203032
531	0.3168158682
532	0.3166809633
533	0.3164211212
534	0.3164003508
535	0.316255359
536	0.3160762056
537	0.3159589658
538	0.3158985443
539	0.3157870391
540	0.3157600038
541	0.3155859633
542	0.3154545132
543	0.3153136
544	0.3152591042
545	0.315214099
546	0.3150532295
547	0.3148716494
548	0.3148001985
549	0.3146973846
550	0.3145772625
551	0.314421935
552	0.3143589568
553	0.3143552552
554	0.314257311
555	0.3141316502
556	0.3139763474
557	0.3139079354
558	0.3139039553
559	0.3138254215
560	0.3137471594
561	0.3136541891
562	0.3135870106
563	0.3134621425
564	0.3133271674
565	0.313295954
566	0.3132650958
567	0.3131580765
568	0.3129880085
569	0.3129553489
570	0.3128609563
571	0.3127008557
572	0.3125703177
573	0.3123514672
574	0.3122781429
575	0.3121552571
576	0.3120262452
577	0.3119050367
578	0.3117880965
579	0.3115875876
580	0.3115322166
581	0.3114766433
582	0.3113154403
583	0.3112439982
584	0.3111490148
585	0.3109650865
586	0.3109058661
587	0.3108674304
588	0.3107953153
589	0.3107231405
590	0.3106416182
591	0.3105551371
592	0.3104741881
593	0.3103645011
594	0.3102620305
595	0.3102048026
596	0.3101377781
597	0.3100908666
598	0.3100083112
599	0.309886419
600	0.3097917506
601	0.3097127108
602	0.3095733817
603	0.3094910995
604	0.309414629
605	0.3091784923
606	0.3090187574
607	0.3088557899
608	0.3087928365
609	0.3087370222
610	0.3086766228
611	0.3085612207
612	0.3083787757
613	0.3083274311
614	0.308197057
615	0.3080680693
616	0.3079956908
617	0.307861283
618	0.3077168332
619	0.3075954161
620	0.3075773251
621	0.3074663133
622	0.3074507711
623	0.3073810379
624	0.3072947674
625	0.3071415669
626	0.3070087694
627	0.3068755834
628	0.3067746626
629	0.3065836158
630	0.3064694552
631	0.3064159339
632	0.3063747173
633	0.3063002379
634	0.3062936943
635	0.3061617322
636	0.3060979994
637	0.305982257
638	0.3058709957
639	0.3058019521
640	0.3055818615
641	0.3055053724
642	0.3054297775
643	0.305325086
644	0.305239795
645	0.3051775971
646	0.3050560871
647	0.3050064477
648	0.304912437
649	0.3047471038
650	0.3045529575
651	0.3045241231
652	0.3044856227
653	0.3044063478
654	0.3042463679
655	0.3041606189
656	0.3040767715
657	0.3039521127
658	0.3038020197
659	0.303681825
660	0.3035579466
661	0.3033787782
662	0.3032837972
663	0.3031506717
664	0.3030421617
665	0.3029375052
666	0.3028954749
667	0.3027985492
668	0.3026509026
669	0.3025649119
670	0.3025146032
671	0.3023389664
672	0.3022650642
673	0.3021622302
674	0.3020450639
675	0.3019882788
676	0.3019404568
677	0.3018338712
678	0.3017783083
679	0.3016267197
680	0.301394209
681	0.3012853135
682	0.3012006856
683	0.3011704698
684	0.301109637
685	0.3009347899
686	0.3008449033
687	0.3007902298
688	0.3006080249
689	0.3005505608
690	0.3004833529
691	0.3004042697
692	0.3003711038
693	0.3002526049
694	0.3001109752
695	0.2999674536
696	0.2999064848
697	0.2998369685
698	0.2998257796
699	0.2997667186
700	0.2996349386
701	0.2994950683
702	0.2994583164
703	0.2993643515
704	0.2992826742
705	0.2991622152
706	0.2991015599
707	0.2990364716
708	0.2990080117
709	0.2989167583
710	0.2987434682
711	0.2986618957
712	0.2986320497
713	0.2985340769
714	0.2984873389
715	0.2984857251
716	0.2982705922
717	0.2981651781
718	0.2981068722
719	0.2980266082
720	0.2979572028
721	0.2978004076
722	0.2977044921
723	0.2976434152
724	0.2976167892
725	0.2975024634
726	0.2973966701
727	0.2973115736
728	0.2972244484
729	0.2971456647
730	0.2970533352
731	0.2969892627
732	0.2967798049
733	0.2967565896
734	0.2966701525
735	0.296617388
736	0.2965337749
737	0.2964939255
738	0.2963043012
739	0.2961021846
740	0.2960656032
741	0.2960427584
742	0.2959687067
743	0.2958733696
744	0.2957490235
745	0.2955508503
746	0.2955169297
747	0.2954177841
748	0.2953607582
749	0.2952902007
750	0.2951276792
751	0.2949685104
752	0.2948339105
753	0.294780475
754	0.2946853873
755	0.2946308248
756	0.2944511351
757	0.2944112005
758	0.2942370916
759	0.2941677021
760	0.2940701766
761	0.2939452243
762	0.293900636
763	0.2938299917
764	0.2936780261
765	0.29357281
766	0.2934913802
767	0.2933426663
768	0.2932412681
769	0.2931177622
770	0.2929586878
771	0.2928513631
772	0.2927060582
773	0.2925811507
774	0.2924589178
775	0.2922593863
776	0.2920851258
777	0.2920478008
778	0.2920139542
779	0.291974412
780	0.2918945494
781	0.2917422368
782	0.2916371611
783	0.2915436569
784	0.291450738
785	0.2913415143
786	0.291102892
787	0.2910753911
788	0.290952345
789	0.2909155989
790	0.2908364044
791	0.290806959
792	0.2907495856
793	0.2906554872
794	0.2905735855
795	0.2904853573
796	0.2903578225
797	0.29021971
798	0.2901661748
799	0.2900105456
800	0.2899572931
801	0.2898599525
802	0.2897448756
803	0.2896495423
804	0.2895920252
805	0.2893744534
806	0.2892992926
807	0.2891257487
808	0.2890791065
809	0.2890127831
810	0.2889882696
811	0.2889387509
812	0.288849122
813	0.2888021004
814	0.2886837424
815	0.2886260544
816	0.288497562
817	0.2883196529
818	0.2882822685
819	0.2881921134
820	0.288063961
821	0.2878711947
822	0.2877753683
823	0.2877437211
824	0.2876630425
825	0.2874961
826	0.287455144
827	0.2873539413
828	0.2872642356
829	0.2871784253
830	0.2871390183
831	0.2870389139
832	0.2869655309
833	0.2868477999
834	0.2867289361
835	0.2866571301
836	0.2866405274
837	0.286578902
838	0.2864875032
839	0.2863273521
840	0.2862878931
841	0.2862191773
842	0.2861160464
843	0.2859843754
844	0.2857398749
845	0.285640669
846	0.2854693391
847	0.2853917892
848	0.285390851
849	0.2852121166
850	0.2851710384
851	0.2851127738
852	0.2849800772
853	0.284873037
854	0.284771812
855	0.284639554
856	0.2845480642
857	0.2845096178
858	0.2844632532
859	0.2843473399
860	0.2841693549
861	0.2841321321
862	0.2840890593
863	0.2839639688
864	0.2838712263
865	0.2838028188
866	0.283686273
867	0.2836130617
868	0.2836004863
869	0.2835062315
870	0.2833882036
871	0.2833095217
872	0.2832515088
873	0.2831753291
874	0.2830925682
875	0.2829100648
876	0.2828106129
877	0.2827143659
878	0.2825897981
879	0.2825273383
880	0.2824999753
881	0.2823815123
882	0.2822760381
883	0.2822260292
884	0.2821683317
885	0.282035127
886	0.281926513
887	0.2818831141
888	0.2818172665
889	0.2817173361
890	0.2816699976
891	0.2816458046
892	0.2815664177
893	0.2814772052
894	0.2814434395
895	0.2813954532
896	0.2812253437
897	0.2811606987
898	0.2810257392
899	0.280922575
900	0.2808890092
901	0.2807922067
902	0.280739964
903	0.2806140481
904	0.2805710669
905	0.2805395776
906	0.2803927591
907	0.2802530201
908	0.2802370597
909	0.2801523984
910	0.2800262355
911	0.2799517005
912	0.2799262608
913	0.2798519484
914	0.279815413
915	0.2796591951
916	0.2795612379
917	0.2795259176
918	0.2794767505
919	0.2794154142
920	0.2793943948
921	0.279330587
922	0.2792843773
923	0.2791883035
924	0.2790418742
925	0.2789394654
926	0.2789171063
927	0.2788975308
928	0.2788125121
929	0.2787686212
930	0.2786704163
931	0.27862906
932	0.2785390182
933	0.2785296498
934	0.278453136
935	0.278420544
936	0.2783938061
937	0.278371489
938	0.2782536857
939	0.2781290554
940	0.2779819324
941	0.2779045161
942	0.2778524247
943	0.277815333
944	0.277754199
945	0.2777195463
946	0.2776658187
947	0.2774943393
948	0.2774681034
949	0.2773066557
950	0.2772024312
951	0.277105443
952	0.2770165316
953	0.2769621493
954	0.27683929
955	0.2767782156
956	0.2767478869
957	0.2766503691
958	0.2765953992
959	0.2765411338
960	0.2764274383
961	0.2763365971
962	0.276303452
963	0.2762462065
964	0.2762316312
965	0.2761737299
966	0.276135398
967	0.2760118961
968	0.2759183701
969	0.2758910098
970	0.275789145
971	0.2757368174
972	0.2756602704
973	0.2755084351
974	0.2754036076
975	0.2753493402
976	0.2752904626
977	0.2752611953
978	0.2751691634
979	0.275065137
980	0.2750357937
981	0.2749382861
982	0.2748849331
983	0.2748560497
984	0.2747947011
985	0.274759626
986	0.274691826
987	0.2745795652
988	0.2745548862
989	0.2744650269
990	0.2743232269
991	0.2742118736
992	0.2741830092
993	0.2740331407
994	0.2739265676
995	0.2738892419
996	0.273768404
997	0.2737143483
998	0.2735942945
999	0.2735008737
